Name,Count
PowerFlows,3
PolygonOps,3
GeoStatsImages,3
MixedModelsSim,3
SentinelArrays,3
RobotZoo,3
RNGTest,3
GSL,3
JumpProcesses,3
SparseMatrixColorings,3
StaticTools,3
MbedTLS,3
GDAL,3
StatsAPI,3
Pyehtim,3
HerbCore,3
PhysiologyPlotting,3
DocumenterInventoryWritingBackport,3
AzSessions,3
JuliaInterpreter,3
Animations,3
SeeToDee,3
SQLCipher,3
SDEProblemLibrary,3
JSONFBCModels,3
Rocket,3
Future,3
Geodesy,3
ProfileView,3
Interfaces,3
CImGui,3
ImageInTerminal,3
Clapeyron,3
PlotlyLight,3
ClimaUtilities,3
ProblemReductions,3
Expokit,3
WCS,3
ThreadPools,3
IteratorInterfaceExtensions,3
DiffEqFlux,3
OrdinaryDiffEqDefault,3
Diffractor,3
SphericalHarmonicModes,3
ComplexityMeasures,3
StatsLearnModels,2
KrylovPreconditioners,2
TulipaIO,2
ExtendableSparse,2
MCIntegration,2
Pajarito,2
MIRTjim,2
HerbConstraints,2
NonlinearProblemLibrary,2
GRAPELinesearchAnalysis,2
Healpix,2
LaTeXEscapes,2
JSON2,2
AssociatedLegendrePolynomials,2
ProbNumDiffEq,2
Skipper,2
Ferrite,2
ExpressionTreeForge,2
ChainedFixes,2
ThreadPinning,2
Groups,2
PopGenCore,2
ProgressBars,2
ExtendableFEM,2
HalfIntegers,2
MLJGLMInterface,2
ITensorNetworks,2
MariaDB_Connector_C_jll,2
FLOWMath,2
FFMPEG,2
Metida,2
QMDP,2
OhMyREPL,2
OnlineStatsBase,2
ZipArchives,2
DataScienceTraits,2
ValueShapes,2
DateFormats,2
cuTENSOR,2
TSFrames,2
Imbalance,2
Metalhead,2
GeometricEquations,2
IfElse,2
DefaultApplication,2
PhysiologyAnalysis,2
RadiationDetectorSignals,2
JSOSolvers,2
OpenDSSDirect,2
Finch,2
MicroCollections,2
Electron,2
SpatialEcology,2
DataMigrations,2
SparseIR,2
SymRCM,2
FinEtoolsDeforLinear,2
GaussianDistributions,2
Caesar,2
OpenCV,2
CliqueTrees,2
ONNXRunTime,2
AmplNLWriter,2
MRISampling,2
DiffRules,2
Nonconvex,2
CloudBase,2
RegressionTests,2
GeoArrays,2
GenericSVD,2
CellListMap,2
RungeKutta,2
WorldOceanAtlasTools,2
FixedEffectModels,2
Stopping,2
Metadata,2
GRIBDatasets,2
Qaintessent,2
SyntaxTree,2
LatinHypercubeSampling,2
Climatology,2
SIAMFANLEquations,2
ExponentialUtilities,2
AbstractFBCModels,2
StructuralUnits,2
XAM,2
RuntimeGeneratedFunctions,2
OpenSSL_jll,2
ColumnSelectors,2
Deno_jll,2
NestedGraphs,2
Cloudy,2
TransformedLogDensities,2
IndexedTables,2
EndpointRanges,2
VectorSphericalHarmonics,2
VegaLite,2
LazyStack,2
CartesianGrids,2
VoronoiDelaunay,2
RipQP,2
TestLandscapes,2
Pickle,2
SupplyChainModeling,2
CTModels,2
DataGraphs,2
PlutoTest,2
TrajectoryGamesExamples,2
ExportAll,2
JpegTurbo,2
PATHSolver,2
SymmetricFormats,2
HYPRE,2
ImGuiTestEngine,2
